,
cbb24: prediction: ,
,
Predictions for R64:,
,Houston
,Connecticut
,Purdue
,Iowa St.
,Auburn
,Arizona
,Tennessee
,Marquette
,North Carolina
,Creighton
,Duke
,Illinois
,Saint Mary's
,Gonzaga
,Alabama
,Kansas
,Baylor
,BYU
,Wisconsin
,Texas
,St. John's
,Nebraska
,Michigan St.
,Florida
,Kentucky
,New Mexico
,Colorado
,Texas Tech
,San Diego St.
,Mississippi St.
,Northwestern
,Villanova
,TCU
,Wake Forest
,Clemson
,Ohio St.
,Nevada
,Pittsburgh
,Washington St.
,Dayton
,Boise St.
,Cincinnati
,Texas A&M
,Indiana St.
,Colorado St.
,Oklahoma
,South Carolina
,Utah
,Drake
,Iowa
,Seton Hall
,Florida Atlantic
,Butler
,Virginia Tech
,Providence
,Oregon
,Virginia
,Utah St.
,UCF
,Bradley
,Washington
,Xavier
,North Carolina St.
,Kansas St.
Predictions for R32:,
,Houston
,Connecticut
,Purdue
,Iowa St.
,Auburn
,Arizona
,Tennessee
,Marquette
,North Carolina
,Creighton
,Duke
,Illinois
,Saint Mary's
,Gonzaga
,Alabama
,Kansas
,Baylor
,BYU
,Wisconsin
,Texas
,St. John's
,Nebraska
,Michigan St.
,Florida
,Kentucky
,New Mexico
,Colorado
,Texas Tech
,San Diego St.
,Mississippi St.
,Northwestern
,Villanova
Predictions for S16:,
,Houston
,Connecticut
,Purdue
,Iowa St.
,Auburn
,Arizona
,Tennessee
,Marquette
,North Carolina
,Creighton
,Duke
,Illinois
,Saint Mary's
,Gonzaga
,Alabama
,Kansas
Predictions for E8:,
,Houston
,Connecticut
,Purdue
,Iowa St.
,Auburn
,Arizona
,Tennessee
,Marquette
Predictions for F4:,
,Houston
,Connecticut
,Purdue
,Iowa St.
Predictions for CHAMPIONSHIP:,
,Houston
,Connecticut
Predictions for WINNER:,
,Houston
